Supplemental table S4,,,,,,,,
,,,,,,,,
Highest classification,Middle classification,Lowest classification,Site,Habitat,Units,Mean,Upper 95% confidence interval,Lower 95% confidence interval
Diptera,Simulidae,Simulidae group,North St. Vrain high,Riffle,mg dry mass m-2,0.4,1.14,< 0.01
Diptera,Tanypodinae,Macropelopia,North St. Vrain high,Riffle,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Tanypodinae,Tanypodinae group,North St. Vrain high,Riffle,mg dry mass m-2,1.11,2.06,0.2
Diptera,Tipulidae,Dicranota,North St. Vrain high,Riffle,mg dry mass m-2,40.73,74.14,14.97
Diptera,Tipulidae,Tipulidae group,North St. Vrain high,Riffle,mg dry mass m-2,0.12,0.28,< 0.01
Ephemeroptera,Ameletidae,Ameletus,North St. Vrain high,Riffle,mg dry mass m-2,7.78,14.22,2.95
Ephemeroptera,Baetidae,Baetis,North St. Vrain high,Riffle,mg dry mass m-2,40.33,57.46,25.92
Ephemeroptera,Ephemerellidae,Drunella,North St. Vrain high,Riffle,mg dry mass m-2,49.79,80.79,27.29
Ephemeroptera,Heptageniidae,Cinygmula,North St. Vrain high,Riffle,mg dry mass m-2,204.13,316.21,97.45
Ephemeroptera,Heptageniidae,Rhithrogena,North St. Vrain high,Riffle,mg dry mass m-2,130.93,218.12,55.98
Ephemeroptera,N/A,Ephemeroptera group,North St. Vrain high,Riffle,mg dry mass m-2,46.64,98.49,13.77
Mollusca,Sphaeriidae,Sphaeriidae,North St. Vrain high,Riffle,mg dry mass m-2,11.55,17.84,5.84
Oligochaeta,N/A,Oligochaeta,North St. Vrain high,Riffle,mg dry mass m-2,75.9,136.11,25.39
Ostracoda,N/A,Ostracoda,North St. Vrain high,Riffle,mg dry mass m-2,64.14,147.28,15.53
Plecoptera,Capniidae,Utacapnia,North St. Vrain high,Riffle,mg dry mass m-2,1.64,3.59,0.2
Plecoptera,Chloroperlidae,Swelsta,North St. Vrain high,Riffle,mg dry mass m-2,192.99,295.46,107.53
Plecoptera,Leuctridae,Perlomyia,North St. Vrain high,Riffle,mg dry mass m-2,23.83,37.36,11.39
Plecoptera,N/A,Plecoptera group,North St. Vrain high,Riffle,mg dry mass m-2,66.57,109.16,32.58
Plecoptera,Nemouridae,Zapada,North St. Vrain high,Riffle,mg dry mass m-2,13.7,22.47,6.56
Plecoptera,Perlidae,Hersperoperla,North St. Vrain high,Riffle,mg dry mass m-2,124.77,198.77,55.35
